alloc,,clusters,,tasksAlloc,,file
1,,[[r2, r3, r1], [r4, r5]],,{r2=[at4_6, at4_3, at4_21, at4_24, at3_25, at3_7, at3_4, at3_19, at3_22], r3=[at4_15, at4_18, at4_9, at4_27, at4_12, at3_28, at3_10, at3_13, at3_16, at2_11, at2_14, at2_20, at2_23, at2_26, at2_29], r4=[at1_1, at1_2], r5=[at1_1, at1_2], r1=[at2_17, at2_8, at2_5]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1.xml
2,,[[r2, r3, r1], [r4, r5]],,{r2=[at4_6, at4_3], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_27, at4_12, at3_25, at3_28, at3_13, at3_16, at3_22, at2_11, at2_14, at2_17], r4=[at1_1, at1_2], r5=[at1_1, at1_2], r1=[at3_7, at3_4, at3_10, at3_19, at2_8, at2_5, at2_20, at2_23, at2_26, at2_29]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation2.xml
3,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_9, at4_3, at4_21, at4_24, at4_27, at3_25, at3_7, at3_4, at2_8, at2_5, at2_23, at2_26, at2_29], r3=[at4_18, at4_12, at3_28, at3_10, at3_13, at3_16, at3_19, at3_22, at2_11, at2_14, at2_17, at2_20], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation3.xml
1823,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_3, at4_24, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_29], r3=[at4_18, at4_9, at4_21, at4_12, at3_25, at3_13, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1823.xml
1824,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_3, at4_24, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_18, at4_9, at4_21, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1824.xml
1825,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_3, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_18, at4_9, at4_21, at4_24, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1825.xml
1826,,[[r2, r3], [r4, r5]],,{r2=[at4_18, at4_6, at4_9, at4_3, at4_21, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_15, at4_24, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1826.xml
1827,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_9, at4_3, at4_21, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_15, at4_18, at4_24, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1827.xml
1828,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_9, at4_3, at4_21, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_18, at4_24, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1828.xml
1829,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_9, at4_3, at4_21, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_29], r3=[at4_15, at4_18, at4_24, at4_12, at3_25, at3_13, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1829.xml
1830,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_21, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_29], r3=[at4_15, at4_18, at4_9, at4_24, at4_12, at3_25, at3_13, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1830.xml
1831,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_18, at4_6, at4_3, at4_21, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_9, at4_24, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1831.xml
1832,,[[r2, r3], [r4, r5]],,{r2=[at4_18, at4_6, at4_3, at4_21, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_15, at4_9, at4_24, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1832.xml
1833,,[[r2, r3], [r4, r5]],,{r2=[at4_18, at4_6, at4_3, at4_21, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_29], r3=[at4_15, at4_9, at4_24, at4_12, at3_25, at3_13, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1833.xml
1834,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_21, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_15, at4_18, at4_9, at4_24, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1834.xml
1835,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_3, at4_21, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_29], r3=[at4_18, at4_9, at4_24, at4_12, at3_25, at3_13, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1835.xml
1836,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_3, at4_21, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_18, at4_9, at4_24, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1836.xml
1837,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_29], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_12, at3_25, at3_13, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1837.xml
1838,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_18, at4_6, at4_9, at4_3, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_21, at4_24, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1838.xml
1839,,[[r2, r3], [r4, r5]],,{r2=[at4_18, at4_6, at4_9, at4_3, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_15, at4_21, at4_24, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1839.xml
1840,,[[r2, r3], [r4, r5]],,{r2=[at4_18, at4_6, at4_9, at4_3, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_29], r3=[at4_15, at4_21, at4_24, at4_12, at3_25, at3_13, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1840.xml
1841,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_9, at4_3, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_15, at4_18, at4_21, at4_24, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1841.xml
1842,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_9, at4_3, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_29], r3=[at4_18, at4_21, at4_24, at4_12, at3_25, at3_13, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1842.xml
1843,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_9, at4_3, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_18, at4_21, at4_24, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1843.xml
1844,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_9, at4_3, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_29], r3=[at4_15, at4_18, at4_21, at4_24, at4_12, at3_25, at3_13, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1844.xml
1845,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_3, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_29], r3=[at4_18, at4_9, at4_21, at4_24, at4_12, at3_25, at3_13, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1845.xml
1846,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_18, at4_6, at4_3, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_29], r3=[at4_9, at4_21, at4_24, at4_12, at3_25, at3_13, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1846.xml
1847,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_18, at4_6, at4_3, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_9, at4_21, at4_24, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1847.xml
1848,,[[r2, r3], [r4, r5]],,{r2=[at4_18, at4_6, at4_3, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_15, at4_9, at4_21, at4_24, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1848.xml
1849,,[[r2, r3], [r4, r5]],,{r2=[at4_18, at4_6, at4_3, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_29], r3=[at4_15, at4_9, at4_21, at4_24, at4_12, at3_25, at3_13, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1849.xml
1850,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_27, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_15, at4_18, at4_9, at4_21, at4_24, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1850.xml
1851,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_18, at4_6, at4_3, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_9, at4_21, at4_24, at4_27, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1851.xml
1852,,[[r2, r3], [r4, r5]],,{r2=[at4_18, at4_6, at4_9, at4_3, at4_21, at4_24, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_15, at4_27, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1852.xml
1853,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_9, at4_3, at4_21, at4_24, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_15, at4_18, at4_27, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1853.xml
1854,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_9, at4_3, at4_21, at4_24, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_18, at4_27, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1854.xml
1855,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_9, at4_3, at4_21, at4_24, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_29], r3=[at4_15, at4_18, at4_27, at4_12, at3_25, at3_13, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1855.xml
1856,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_21, at4_24, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_29], r3=[at4_15, at4_18, at4_9, at4_27, at4_12, at3_25, at3_13, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1856.xml
1857,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_18, at4_6, at4_3, at4_21, at4_24, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_9, at4_27, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1857.xml
1858,,[[r2, r3], [r4, r5]],,{r2=[at4_18, at4_6, at4_3, at4_21, at4_24, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_15, at4_9, at4_27, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1858.xml
1859,,[[r2, r3], [r4, r5]],,{r2=[at4_18, at4_6, at4_3, at4_21, at4_24, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_29], r3=[at4_15, at4_9, at4_27, at4_12, at3_25, at3_13, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1859.xml
1860,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_21, at4_24, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_15, at4_18, at4_9, at4_27, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1860.xml
1861,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_3, at4_21, at4_24, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_29], r3=[at4_18, at4_9, at4_27, at4_12, at3_25, at3_13, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1861.xml
1862,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_6, at4_3, at4_21, at4_24, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_18, at4_9, at4_27, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1862.xml
1863,,[[r2, r3], [r4, r5]],,{r2=[at4_6, at4_3, at4_24, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_29], r3=[at4_15, at4_18, at4_9, at4_21, at4_27, at4_12, at3_25, at3_13, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1863.xml
1864,,[[r2, r3], [r4, r5]],,{r2=[at4_15, at4_18, at4_6, at4_9, at4_3, at4_24, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_21, at4_27, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1864.xml
1865,,[[r2, r3], [r4, r5]],,{r2=[at4_18, at4_6, at4_9, at4_3, at4_24, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at2_8, at2_5, at2_29], r3=[at4_15, at4_21, at4_27, at4_12, at3_25, at3_13, at3_22, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1865.xml
1866,,[[r2, r3], [r4, r5]],,{r2=[at4_18, at4_6, at4_9, at4_3, at4_24, at3_28, at3_7, at3_4, at3_10, at3_16, at3_19, at3_22, at2_8, at2_5, at2_29], r3=[at4_15, at4_21, at4_27, at4_12, at3_25, at3_13, at2_11, at2_14, at2_17, at2_20, at2_23, at2_26], r4=[at1_1, at1_2], r5=[at1_1, at1_2]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/anwer-RQ2-varyRobotsTasks/Hosp/H-r5t29-j2c0o9/results/Alloy//Allocation1866.xml
